KOHEZIJSKA IN STATISTI?NA REGIJA;Stopnja delovne aktivnosti 1993;Stopnja delovne aktivnosti 1994;Stopnja delovne aktivnosti 1995;Stopnja delovne aktivnosti 1996;Stopnja delovne aktivnosti 1997;Stopnja delovne aktivnosti 1998;Stopnja delovne aktivnosti 1999;Stopnja delovne aktivnosti 2000;Stopnja delovne aktivnosti 2001;Stopnja delovne aktivnosti 2002;Stopnja delovne aktivnosti 2003;Stopnja delovne aktivnosti 2004;Stopnja delovne aktivnosti 2005;Stopnja delovne aktivnosti 2006;Stopnja delovne aktivnosti 2007;Stopnja delovne aktivnosti 2008;Stopnja delovne aktivnosti 2009;Stopnja delovne aktivnosti 2010;Stopnja delovne aktivnosti 2011;Stopnja delovne aktivnosti 2012;Stopnja delovne aktivnosti 2013;Stopnja delovne aktivnosti 2014;Stopnja delovne aktivnosti 2015;Stopnja delovne aktivnosti 2016;Stopnja delovne aktivnosti 2017;Stopnja delovne aktivnosti 2018;Stopnja delovne aktivnosti 2019;Stopnja delovne aktivnosti 2020;Stopnja delovne aktivnosti 2021
SLOVENIJA;52.4;52.4;54.4;53.4;54.9;55.3;55.8;57.4;57.7;56.0;55.4;55.7;57.8;58.5;60.5;61.9;60.5;58.8;58.1;57.4;56.5;57.2;58.2;59.6;62.1;64.5;66.0;65.6;66.7
Vzhodna Slovenija;...;...;...;...;...;...;...;...;...;...;...;...;56.0;56.7;58.8;60.7;59.2;57.3;56.8;56.0;55.3;56.0;56.7;57.7;60.2;62.6;64.1;63.9;65.2
Pomurska;...;...;...;...;...;...;...;...;...;53.8;52.3;53.0;52.7;53.5;55.4;56.9;55.4;52.5;53.2;51.2;50.6;50.7;50.6;51.3;53.6;55.8;57.0;57.7;58.9
Podravska;...;...;...;...;...;...;...;...;...;51.3;51.2;51.6;53.8;54.8;57.2;59.2;57.2;55.5;54.7;53.7;53.1;54.0;54.8;55.6;57.6;59.6;61.2;60.7;61.6
Koroška;...;...;...;...;...;...;...;...;...;54.5;53.0;53.7;56.1;56.4;58.0;59.6;58.3;55.7;55.8;56.1;54.8;55.7;56.2;56.8;58.9;61.0;62.2;63.0;64.4
Savinjska;...;...;...;...;...;...;...;...;...;55.2;54.7;55.0;57.2;57.9;60.0;61.9;60.8;59.0;58.7;58.2;57.6;58.1;58.7;59.8;62.6;65.0;66.7;66.6;68.4
Zasavska;...;...;...;...;...;...;...;...;...;52.8;52.1;52.3;54.4;55.4;57.3;59.3;57.8;56.2;55.2;54.8;54.1;54.2;56.7;58.1;61.0;63.9;65.5;65.2;66.1
Posavska;...;...;...;...;...;...;...;...;...;54.8;53.1;54.0;56.5;57.0;59.0;61.3;60.9;58.9;58.5;57.9;57.5;57.9;58.5;59.4;62.3;65.0;66.8;66.2;67.5
Jugovzhodna Slovenija;...;...;...;...;...;...;...;...;...;58.9;58.1;58.6;60.2;60.4;62.4;63.6;62.2;60.5;59.7;58.7;58.2;59.2;60.1;61.3;64.6;67.3;68.5;68.0;69.1
Primorsko-notranjska;...;...;...;...;...;...;...;...;...;58.8;58.6;59.1;61.4;62.4;64.5;65.8;64.9;62.8;61.7;61.1;59.9;61.0;61.9;63.1;65.4;68.4;69.9;69.9;71.0
Zahodna Slovenija;...;...;...;...;...;...;...;...;...;...;...;...;60.0;60.7;62.4;63.4;61.9;60.5;59.5;58.9;57.8;58.5;59.8;61.6;64.3;66.6;68.1;67.4;68.4
Osrednjeslovenska;...;...;...;...;...;...;...;...;...;58.8;58.3;58.2;60.9;61.5;63.2;64.0;62.2;60.9;59.9;59.2;58.0;58.5;59.7;61.6;64.1;66.4;67.9;67.3;67.9
Gorenjska;...;...;...;...;...;...;...;...;...;56.6;56.3;56.7;59.0;59.6;61.3;62.4;61.1;60.0;59.4;59.2;58.8;59.9;61.2;63.0;65.6;68.0;69.3;68.4;70.1
Goriška;...;...;...;...;...;...;...;...;...;57.7;57.0;57.0;59.1;59.9;61.7;63.4;61.9;59.4;58.3;57.6;56.8;57.9;59.1;60.9;63.7;66.5;68.0;68.3;69.3
Obalno-kraška;...;...;...;...;...;...;...;...;...;56.6;56.3;56.4;58.8;59.7;61.5;62.6;61.9;60.5;59.0;58.1;56.4;57.1;58.5;60.4;63.1;65.5;66.9;65.6;66.5
